Chr	CLASS	POS	EE_A1	EE_A2
chr1	1	196687934	0	0
chr1	0	77239249	0	0
chr1	1	119066292	0	1
chr1	1	153954576	0	0
chr1	1	214921660	0	0
chr1	1	59498642	0	0
chr1	1	203747715	0	1
chr1	0	10006369	1	0
chr1	0	185950632	0	0
chr1	1	43450971	0	0
chr1	0	141758211	0	0
chr1	1	112694059	1	0
chr1	0	235967845	0	0
chr1	0	102626402	0	0
chr1	0	69523517	0	1
chr1	1	111870400	0	0
chr1	0	49573165	0	0
chr1	1	219243349	0	0
chr1	1	8443182	1	0
chr1	1	169131822	0	0
chr1	1	18483422	0	1
chr1	1	147909431	1	0
chr1	1	42961547	0	1
chr1	1	91614502	0	0
chr1	1	236885376	0	1
chr1	0	23894253	0	0
chr1	0	164274312	0	1
chr1	0	3691071	0	0
chr1	0	37243560	1	0
chr1	1	156232382	0	0
chr1	1	55063542	0	0
chr1	0	176809179	0	1
chr1	0	26738480	0	0
chr1	1	247877880	0	0
chr1	0	105997888	0	0
chr1	0	40729635	0	0
chr1	0	80063056	0	1
chr1	1	50094148	0	0
chr1	0	128953520	1	0
chr1	1	158667938	0	0
chr1	1	119047775	1	0
chr1	1	159204893	0	0
chr1	1	24965206	1	0
chr1	0	174724989	0	0
chr1	1	27890225	0	1
chr1	1	47515244	0	0
chr1	1	165749742	0	0
chr1	0	154141583	0	0
chr1	1	10255239	0	1
chr1	0	71730769	0	0
chr1	0	76344890	0	0
chr1	0	20209333	0	0
chr1	0	240683230	0	0
chr1	1	171970150	0	0
chr1	0	107262563	1	0
chr1	0	101472767	0	0
chr1	0	244885929	1	0
chr1	0	124553780	0	0
chr1	0	237503397	0	0
chr1	0	202071134	0	0
chr1	1	218375408	0	0
chr1	0	82539986	0	0
chr1	0	59472857	1	0
chr1	1	182361969	0	0
chr1	0	162903026	0	0
chr1	1	4255144	0	1
chr1	1	11772904	0	1
chr1	0	190762078	0	0
chr1	0	83911171	0	0
chr1	1	8443319	0	0
chr1	0	100277858	0	1
chr1	0	6067477	0	1
chr1	1	25439974	0	0
chr1	1	78038727	1	0
chr1	1	61421219	0	1
chr1	1	106652717	0	1
chr1	1	155015228	0	0
chr1	1	40890105	0	0
chr1	0	168910007	0	0
chr1	0	95813113	0	0
chr1	1	78157942	0	0
chr1	1	23381993	0	1
chr1	1	49846528	1	0
chr1	0	2425579	0	0
chr1	0	111524264	0	0
chr1	0	99911165	1	0
chr1	0	38956382	0	0
chr1	1	109274570	0	1
chr1	1	243304073	0	0
chr1	0	13419883	0	0
chr1	0	186441340	0	0
chr1	0	119065970	0	0
chr1	0	234121563	0	0
chr1	1	158613048	0	0
chr1	0	80982161	0	0
chr1	0	238857602	1	1
chr1	0	210552438	0	0
chr1	1	39370145	0	0
chr1	0	45743859	0	1
chr1	1	62560271	1	1
chr1	0	118236086	0	0
chr1	0	80463927	0	0
chr1	0	85986260	0	0
chr1	0	164252922	1	0
chr1	0	204683895	0	1
chr1	0	173293902	0	0
chr1	1	183005193	0	0
chr1	1	16985387	0	0
chr1	1	230710048	0	0
chr1	1	65646993	0	0
chr1	0	232740352	0	0
chr1	0	184271008	0	0
chr1	0	186068254	0	0
chr1	1	152347096	1	0
chr1	0	38475971	1	0
chr1	1	73212771	0	0
chr1	1	154287174	1	1
chr1	1	112387384	0	0
chr1	1	75744069	0	0
chr1	0	213771330	0	1
chr1	1	76397851	0	0
chr1	1	157598624	1	0
chr1	1	10736490	0	0
chr1	0	4334074	0	0
chr1	1	26693253	0	1
chr1	1	74528037	0	0
chr1	0	118772764	1	0
chr1	1	78212446	0	0
chr1	1	157783783	0	0
chr1	0	112933491	0	0
chr1	1	92839027	1	0
chr1	1	43363065	0	0
chr1	0	144288259	0	0
chr1	0	21730075	0	0
chr1	1	151944917	0	1
chr1	0	2431869	0	0
chr1	0	41524829	0	0
chr1	1	154841143	0	0
chr1	1	22354721	1	1
chr1	1	1962845	0	0
chr1	1	220115348	0	1
chr1	1	109275908	0	1
chr1	1	112704505	0	0
chr1	0	33003182	1	0
chr1	1	161981287	0	0
chr1	1	183056420	1	0
chr1	0	160481224	0	0
chr1	0	69592630	0	0
chr1	1	31111402	1	0
chr1	0	72445507	0	0
chr1	0	48247303	0	0
chr1	0	130741539	0	0
chr1	1	155113422	1	1
chr1	0	243685403	1	1
chr1	1	116257579	0	0
chr1	1	190270777	0	0
chr1	0	25287597	0	0
chr1	1	28814643	1	0
chr1	1	21183149	1	0
chr1	0	174754202	1	0
chr1	0	205631585	0	0
chr1	0	22667093	0	0
chr1	1	107208431	0	0
chr1	0	227126053	0	1
chr1	1	19274044	0	1
chr1	1	219473465	0	0
chr1	1	111920328	0	0
chr1	0	99884793	0	1
chr1	0	192396118	0	0
chr1	1	28304789	0	0
chr1	0	125744747	0	0
chr1	1	171575912	0	0
chr1	1	90724376	0	0
chr1	0	231621901	0	0
chr1	0	153840299	0	0
chr1	0	146381195	0	0
chr1	1	2212668	0	0
chr1	1	186122944	1	0
chr1	0	149223813	0	0
chr1	1	25369344	0	0
chr1	1	219580167	0	0
chr1	1	15272525	0	0
chr1	0	78514234	0	0
chr1	0	38264731	0	1
chr1	0	42655284	1	0
chr1	1	155166366	0	0
chr1	1	43550138	0	0
chr1	0	238056688	0	1
chr1	1	245993842	0	0
chr1	1	113780893	0	0
chr1	1	204678365	0	1
chr1	0	206748781	0	0
chr1	1	55039974	0	0
chr1	1	161985866	0	0
chr1	1	162143176	0	1
chr1	1	72478934	0	0
chr1	0	78491122	0	0
chr1	0	42337665	0	1
chr1	1	15950587	0	0
chr1	1	165904155	0	0
chr1	1	201376359	0	1
chr1	1	45975978	0	1
chr1	0	237973659	0	0
chr1	0	195406412	0	1
chr1	1	242442926	0	0
chr1	0	187880414	0	0
chr1	0	196234424	0	0
chr1	1	120044057	0	0
chr1	1	119220917	0	1
chr1	0	78252940	0	0
chr1	0	234033775	0	0
chr1	1	151377440	0	1
chr1	1	155906822	0	0
chr1	0	14608414	0	0
chr1	0	79353800	0	1
chr1	1	53275125	1	0
chr1	1	118456596	0	1
chr1	0	93970872	0	0
chr1	0	193122995	0	0
chr1	1	43805985	1	0
chr1	1	150986360	0	0
chr1	1	170646519	0	0
chr1	1	155062156	0	1
chr1	1	92376434	0	0
chr1	1	4837584	0	1
chr1	1	24978061	0	0
chr1	0	216801991	0	0
chr1	0	117662875	0	1
chr1	1	62652525	0	0
chr1	1	19308517	1	0
chr1	0	238006518	0	1
chr1	0	206981069	0	0
chr1	0	175050112	0	1
chr1	1	206766559	0	0
chr1	1	19661290	0	0
chr1	0	130141031	0	0
chr1	0	220045096	0	1
chr1	1	72347064	0	0
chr1	0	140323321	0	0
chr1	0	242618395	0	0
chr1	0	159779851	0	0
chr1	0	236767686	0	1
chr1	1	207108804	0	0
chr1	0	38302810	1	0
chr1	1	180936558	0	1
chr1	1	207577223	0	1
chr1	1	90727492	0	0
chr1	0	22782080	0	0
chr1	0	56022663	0	0
chr1	0	230306508	0	0
chr1	1	148986598	0	0
chr1	0	5150953	0	0
chr1	0	55649433	0	0
chr1	1	61421219	1	0
chr1	0	234636730	0	0
chr1	1	102929632	0	1
chr1	0	130268862	0	1
chr1	1	218318779	0	0
chr1	0	166535428	1	1
chr1	0	221811077	0	0
chr1	0	97301062	1	0
chr1	0	106093246	0	0
chr1	1	156494637	0	0
chr1	1	2389263	0	1
chr1	0	186131000	0	0
chr1	1	218508629	0	0
chr1	0	203665583	0	0
chr1	1	162617426	0	0
chr1	0	123646290	0	0
chr1	1	65969060	0	0
chr1	0	152361129	0	0
chr1	1	240423395	1	1
chr1	0	1950944	1	0
chr1	1	175376467	1	0
chr1	1	67215986	0	1
chr1	1	203546947	0	0
chr1	0	226706217	0	0
chr1	0	11744015	0	0
chr1	0	39781577	0	0
chr1	0	620840	1	0
chr1	1	113834946	0	0
chr1	1	221902383	0	1
chr1	1	114709988	0	1
chr1	1	174606504	0	1
chr1	0	128396053	0	0
chr1	1	43295980	1	0
chr1	0	40935961	0	0
chr1	0	1950775	0	0
chr1	1	246497934	0	1
chr1	1	31098930	0	0
chr1	0	167831565	0	1
chr1	0	184464217	0	0
chr1	1	108130783	0	0
chr1	0	71604082	0	0
chr1	1	62652525	1	1
chr1	0	197227889	1	0
chr1	1	40785289	0	1
chr1	0	127050181	0	0
chr1	1	173430538	1	0
chr1	0	223420617	0	0
chr1	0	19182661	0	1
chr1	1	149966973	0	0
chr1	0	50262494	0	0
chr1	0	180334846	0	0
chr1	1	62560271	1	1
chr1	0	198827550	1	0
chr1	0	152484169	0	0
chr1	0	11456211	0	0
chr1	1	39582337	0	0
chr1	1	70421416	0	0
chr1	0	21253324	0	1
chr1	0	66187672	0	0
chr1	1	78139810	0	0
chr1	1	228862088	0	0
chr1	1	78702480	0	0
chr1	0	103386765	0	0
chr1	1	211226654	0	1
chr1	1	72122436	0	0
chr1	0	209262487	0	1
chr1	0	189012724	0	1
chr1	0	88189508	0	0
chr1	0	96872094	0	1
chr1	1	10736490	0	0
chr1	1	214456273	0	1
chr1	1	41899206	0	0
chr1	1	5080166	0	1
chr1	0	20801030	0	0
chr1	1	248333561	0	1
chr1	0	192893394	0	1
chr1	1	4560936	0	1
chr1	0	203458024	1	0
chr1	1	210130974	0	0
chr1	0	141111689	0	0
chr1	0	179813775	0	0
chr1	0	20987268	0	0
chr1	0	159938316	0	0
chr1	0	61126840	0	0
chr1	1	10573188	0	0
chr1	1	176256912	0	0
chr1	1	87602425	0	1
chr1	1	61216636	0	0
chr1	1	37627051	0	0
chr1	0	179049576	0	0
chr1	0	225561763	0	1
chr1	1	173909724	0	0
chr1	0	127349483	0	0
chr1	0	16411514	0	1
chr1	1	219479453	0	0
chr1	1	181771065	0	0
chr1	0	120850284	1	0
chr1	0	221097823	0	0
chr1	0	181949776	0	1
chr1	1	117708553	0	0
chr1	1	111740251	1	0
chr1	1	92287779	0	1
chr1	1	77887920	0	0
chr1	1	236539624	0	0
chr1	1	196300631	0	0
chr1	0	101592103	0	1
chr1	0	91879620	0	1
chr1	0	112848443	1	0
chr1	0	157821255	0	0
chr1	1	62583880	0	1
chr1	1	162183762	0	1
chr1	1	101141676	0	0
chr1	0	232300566	1	0
chr1	1	10504618	0	0
chr1	1	196717788	0	1
chr1	1	6739035	0	0
chr1	1	219457962	0	1
chr1	1	184016669	0	0
chr1	1	209874273	0	1
chr1	1	184049341	0	0
chr1	0	207997076	0	0
chr1	1	119356042	0	0
chr1	1	62437203	1	0
chr1	0	24131882	0	0
chr1	0	236273609	0	0
chr1	0	66305499	0	0
chr1	0	96368404	0	0
chr1	0	237263038	0	0
chr1	0	88763109	0	0
chr1	0	236461180	0	0
chr1	0	179009721	0	0
chr1	1	156326674	0	0
chr1	1	1933087	0	0
chr1	1	111920328	0	0
chr1	0	74237715	0	0
chr1	0	28750507	0	0
chr1	1	196735879	1	0
chr1	1	174516972	0	1
chr1	1	150966095	0	0
chr1	0	225081519	0	0
chr1	0	227425861	0	0
chr1	1	155212373	0	0
chr1	1	44158588	1	0
chr1	1	30790513	0	0
chr1	1	156693685	0	0
chr1	1	26695422	0	0
chr1	1	26321458	0	0
chr1	1	54383154	0	1
chr1	1	68382998	0	0
chr1	0	51077006	0	0
chr1	0	157883263	0	1
chr1	1	55039974	0	1
chr1	0	115173290	0	0
chr1	0	141787092	0	0
chr1	0	223808716	0	0
chr1	1	204986201	1	0
chr1	1	155478624	0	0
chr1	0	187799393	0	0
chr1	1	10226118	1	0
chr1	1	118952692	0	0
chr1	1	11052779	1	0
chr1	0	207755448	0	0
chr1	0	84601845	0	0
chr1	0	245457471	0	0
chr1	1	211629250	0	1
chr1	1	203201497	0	0
chr1	0	38178425	0	0
chr1	0	129389796	0	0
chr1	1	74098221	0	0
chr1	0	55984930	0	0
chr1	0	209079548	0	0
chr1	1	113905767	0	0
chr1	1	114490030	0	0
chr1	0	219546075	0	0
chr1	1	36482287	0	0
chr1	1	108199501	0	0
chr1	0	65769631	0	1
chr1	0	95339465	0	0
chr1	1	55052487	1	1
chr1	0	11388196	0	0
chr1	1	197476363	1	0
chr1	1	21687978	0	0
chr1	0	29531866	0	1
chr1	0	218946990	0	0
chr1	1	214968227	0	1
chr1	0	101545106	0	1
chr1	1	20900845	0	0
chr1	1	210504207	0	0
chr1	0	137472352	0	0
chr1	0	180446232	0	0
chr1	0	54041955	0	0
chr1	1	67700003	1	1
chr1	0	144588890	0	0
chr1	0	134502535	0	1
chr1	1	211669734	1	0
chr1	1	21557249	0	0
chr1	0	151177397	1	0
chr1	0	65590373	0	0
chr1	0	167361403	1	0
chr1	0	192522532	1	1
chr1	0	142414992	0	0
chr1	0	49095430	0	0
chr1	0	241742804	1	0
chr1	0	6833936	0	0
chr1	0	211322248	0	0
chr1	0	14670482	0	0
chr1	0	222289358	0	0
chr1	1	115757516	0	0
chr1	1	147816164	0	0
chr1	0	26999315	0	1
chr1	0	28528066	0	0
chr1	1	156236330	0	0
chr1	1	83945555	1	0
chr1	1	25001518	0	1
chr1	1	191068185	0	0
chr1	0	221440182	1	0
chr1	0	55994863	0	0
chr1	1	169611052	0	0
chr1	1	218376012	0	0
chr1	0	170580389	0	0
chr1	1	158523265	1	0
chr1	1	5294784	1	0
chr1	0	158939071	0	0
chr1	0	172148965	0	0
chr1	1	154454494	0	0
chr1	1	1367374	0	0
chr1	1	247549001	0	1
chr1	1	91080891	0	1
chr1	0	96143693	0	0
chr1	1	201903136	0	0
chr1	1	110063459	1	0
chr1	1	154457616	0	0
chr1	0	34729706	1	0
chr1	0	72779079	0	0
chr1	0	119755614	0	0
chr1	0	172836691	0	0
chr1	0	214971684	0	0
chr1	1	111920328	1	0
chr1	0	202026073	0	0
chr1	0	5540038	0	0
chr1	1	75715193	0	0
chr1	1	43563682	0	0
chr1	0	101416069	0	0
chr1	0	94090286	0	0
chr1	0	216724260	0	0
chr1	1	88673004	0	0
chr1	1	179706443	0	0
chr1	0	72986266	1	0
chr1	0	91557482	0	0
chr1	1	161509955	0	0
chr1	1	61641349	0	1
chr1	1	21530140	0	0
chr1	1	173222336	1	0
chr1	1	109275684	1	1
chr1	1	26517479	0	0
chr1	0	4551488	0	0
chr1	1	114511669	0	0
chr1	1	170410586	0	0
chr1	0	56823444	0	0
chr1	0	172803163	0	0
chr1	0	184159122	1	0
chr1	0	126317460	0	0
chr1	0	23467490	0	0
chr1	0	142458545	0	0
chr1	1	11778705	0	0
chr1	1	211217974	0	0
chr1	0	20267775	0	0
chr1	1	17056451	0	0
chr1	0	78861197	0	0
chr1	1	49462817	0	0
chr1	0	226160986	1	0
chr1	0	104545582	0	0
chr1	0	246203630	0	0
chr1	0	189736888	0	0
chr1	0	61351730	0	0
chr1	1	234773551	0	0
chr1	1	162064100	1	0
chr1	0	105713522	0	0
chr1	0	85502390	1	0
chr1	0	201410027	0	0
chr1	1	96458541	1	0
chr1	1	203312047	0	0
chr1	1	119031964	0	0
chr1	0	117938374	0	0
chr1	1	219243349	0	1
chr1	1	213765977	0	0
chr1	1	26163142	1	0
chr1	1	67589092	0	1
chr1	1	47632734	0	0
chr1	0	226576228	0	0
chr1	1	62639867	0	1
chr1	1	50968015	0	0
chr1	0	19476877	0	0
chr1	1	18625491	0	0
chr1	0	33884046	0	0
chr1	1	90727492	0	0
chr1	0	54120385	0	0
chr1	1	151027261	0	1
chr1	0	80667299	1	0
chr1	0	113024437	0	1
chr1	1	10973265	0	0
chr1	0	215681276	0	0
chr1	1	2512975	0	1
chr1	1	109275908	0	0
chr1	1	10736809	0	0
chr1	0	177181999	0	0
chr1	1	230143663	0	0
chr1	0	222118612	1	0
chr1	0	20471277	0	0
chr1	1	39954060	0	0
chr1	1	106633288	0	0
chr1	0	60240337	1	0
chr1	0	177912342	0	1
chr1	0	96577324	0	0
chr1	0	93036974	1	0
chr1	0	68110690	0	0
chr1	0	21719586	0	0
chr1	1	99317401	1	0
chr1	1	150764744	1	0
chr1	1	204189004	0	0
chr1	0	32557681	0	0
chr1	0	161483171	0	1
chr1	0	223988169	0	0
chr1	0	85298502	0	0
chr1	1	109275908	0	0
chr1	0	45920423	0	1
chr1	1	1877330	0	0
chr1	1	56442048	0	0
chr1	0	152053429	0	0
chr1	0	245175947	0	0
chr1	0	97203156	0	1
chr1	0	192114521	0	0
chr1	1	205680045	0	1
chr1	1	118957860	0	1
chr1	0	5830543	0	0
chr1	0	146966479	0	0
chr1	1	222664597	0	0
chr1	0	71869695	0	0
chr1	0	19707278	0	1
chr1	1	155224224	0	1
chr1	1	177883445	0	0
chr1	1	172407219	0	0
chr1	1	53115998	0	0
chr1	1	84295665	0	0
chr1	0	181184874	1	0
chr1	1	30712010	0	0
chr1	0	91413204	0	0
chr1	0	63464130	0	0
chr1	1	203312047	0	0
chr1	1	54782179	0	0
chr1	0	17213818	0	0
chr1	0	52964349	0	0
chr1	1	111770809	0	1
chr1	1	116742529	0	0
chr1	0	7526681	0	0
chr1	1	118974797	0	0
chr1	0	74484408	0	0
chr1	1	150503710	0	0
chr1	0	68462246	0	0
chr1	1	26811902	0	0
chr1	1	219482534	0	0
chr1	0	131562409	0	0
chr1	1	199346870	0	0
chr1	1	158617176	0	0
chr1	1	88653278	0	0
chr1	1	147599516	0	1
chr1	1	33362760	0	0
chr1	0	226007954	0	0
chr1	1	109274968	0	0
chr1	1	11802721	0	1
chr1	0	23533285	0	0
chr1	1	62658794	0	0
chr1	1	207837896	0	0
chr1	1	67700010	0	1
chr1	0	240301801	0	0
chr1	1	191613529	0	0
chr1	1	232533526	0	0
chr1	1	91641080	0	0
chr1	1	195821528	0	0
chr1	1	230164735	1	0
chr1	1	53340210	1	0
chr1	0	127215983	1	0
chr1	1	15760765	0	1
chr1	0	73235978	0	0
chr1	0	164720534	1	0
chr1	0	32579022	0	0
chr1	0	191663273	0	0
chr1	0	104887498	0	0
chr1	0	232311630	0	0
chr1	1	154314090	1	0
chr1	1	51486826	1	0
chr1	0	6765131	0	0
chr1	1	162064100	0	0
chr1	0	171764607	0	0
chr1	0	58117725	0	0
chr1	1	36624322	0	0
chr1	1	62639867	0	0
chr1	1	9110878	0	0
chr1	0	124624408	0	0
chr1	1	97132544	0	0
chr1	0	173228771	1	1
chr1	0	158255009	1	0
chr1	0	218775540	0	1
chr1	1	8400188	0	0
chr1	0	35776474	0	0
chr1	0	122967449	0	0
chr1	0	187487083	1	0
chr1	1	113676539	0	0
chr1	1	93282126	0	0
chr1	1	67134418	0	1
chr1	1	42957951	0	0
chr1	0	207720871	0	1
chr1	1	117708521	0	1
chr1	0	121741488	1	0
chr1	1	118920241	0	0
chr1	0	54919703	1	0
chr1	1	115778212	0	1
chr1	1	109279544	0	0
chr1	1	119920607	0	0
chr1	0	222716352	0	0
chr1	0	15719161	0	0
chr1	0	54166809	0	1
chr1	0	48326062	0	0
chr1	1	227040379	0	0
chr1	0	32089140	1	0
chr1	0	39693804	0	0
chr1	1	17010100	1	1
chr1	1	203558902	0	0
chr1	1	247874688	0	0
chr1	0	200164548	1	0
chr1	1	38528443	0	0
chr1	1	97357213	0	0
chr1	1	159830120	0	1
chr1	1	211539348	0	0
chr1	1	156377518	0	0
chr1	0	7107136	0	0
chr1	1	19845367	0	0
chr1	1	25036847	1	0
chr1	1	159302270	1	0
chr1	0	80514244	0	0
chr1	1	209814702	0	0
chr1	1	54839297	0	0
chr1	1	60593144	0	0
chr1	0	1146534	0	0
chr1	1	118428874	0	0
chr1	0	189313118	0	1
chr1	0	112969166	0	0
chr1	1	37474756	0	1
chr1	1	114521601	0	0
chr1	0	131384200	0	1
chr1	1	112704108	0	0
chr1	0	231673970	0	0
chr1	1	66680164	0	0
chr1	0	246332776	0	0
chr1	0	109043996	0	0
chr1	1	73330323	0	0
chr1	0	154467914	0	0
chr1	1	155166366	0	1
chr1	1	49824429	0	0
chr1	1	102989661	0	1
chr1	0	161050613	0	0
chr1	0	9464048	0	0
chr1	0	180621961	0	0
chr1	0	206002536	0	0
chr1	0	73823440	0	0
chr1	1	195841818	1	0
chr1	0	63143815	0	0
chr1	0	114005110	0	0
chr1	1	6219310	0	1
chr1	0	126118031	1	0
chr1	1	109275684	0	0
chr1	0	45079017	0	0
chr1	0	164108826	1	0
chr1	0	206389004	0	0
chr1	0	4342686	0	0
chr1	1	109928142	0	0
chr1	0	31110993	0	0
chr1	1	145709377	0	1
chr1	1	190681319	0	0
chr1	1	43300755	1	1
chr1	1	224811130	1	1
chr1	0	50987088	0	0
chr1	1	149955122	1	0
chr1	0	120564024	0	0
chr1	0	32929103	0	0
chr1	1	174046123	0	0
chr1	1	47511520	1	0
chr1	0	36442879	0	0
chr1	1	234712965	0	1
chr1	1	168629978	1	0
chr1	1	117415665	0	0
chr1	0	246005386	0	0
chr1	1	176445645	0	0
chr1	1	200100088	1	1
chr1	1	155134221	0	0
chr1	1	19816373	0	1
chr1	0	149758218	0	1
chr1	0	24646132	1	0
chr1	0	152592937	0	0
chr1	0	64096001	0	0
chr1	1	111770809	1	0
chr1	0	182686138	0	0
chr1	1	218432267	1	0
chr1	0	219173865	0	0
chr1	1	98123329	1	0
chr1	0	71757301	0	0
chr1	1	207739063	0	1
chr1	1	159204893	0	0
chr1	0	59776560	0	0
chr1	0	11995934	0	1
chr1	0	248275756	0	0
chr1	0	134170286	0	0
chr1	1	1551523	1	0
chr1	0	205815346	1	1
chr1	1	93205027	1	0
chr1	0	68276423	0	0
chr1	0	27447623	0	1
chr1	0	112039336	0	1
chr1	0	15622407	0	0
chr1	1	182977611	1	1
chr1	0	92171726	0	0
chr1	1	221939292	0	1
chr1	0	128116607	0	0
chr1	0	184444162	0	0
chr1	0	9554104	0	0
chr1	1	154447416	0	0
chr1	0	216696122	0	0
chr1	1	184792231	0	0
chr1	0	144633700	0	0
chr1	1	67686755	0	0
chr1	0	165552025	1	0
chr1	0	98472406	0	1
chr1	1	239408064	0	0
chr1	0	159208579	0	0
chr1	1	118910135	0	0
chr1	1	184708330	0	0
chr1	0	220311072	0	0
chr1	0	99160300	0	0
chr1	1	109275908	0	1
chr1	1	155587180	0	0
chr1	1	195418852	0	0
chr1	1	213008574	1	0
chr1	0	11487272	0	0
chr1	1	235611717	1	1
chr1	1	173222336	0	1
chr1	0	70855479	0	0
chr1	0	92799801	0	1
chr1	1	25567437	0	1
chr1	1	91915926	0	0
chr1	1	150390557	0	0
chr1	0	165709041	0	1
chr1	0	210813152	0	1
chr1	1	73616692	0	0
chr1	1	247459572	1	0
chr1	0	113872964	0	0
chr1	1	179329674	1	0
chr1	1	22373858	0	0
